Location,Coordinates,Date,Description,Weaponry,Casulties,Shot Down
Margaliyyot,"33.2147, 35.5449",02-12-2023,"On 2 December 2023, Hezbollah forces fired rockets from Lebanon toward IDF posts near the border, presumably in the area of Margaliyyot (Zefat, HaZafon). No interceptions or direct hits to populated areas were reported, as the rockets likely landed in open areas.",rockets,0,0
Shomera,"33.0827, 35.2838",02-12-2023,"On 2 December 2023, Hezbollah forces launched at least two mortars from Lebanon toward Shomera (Akko, HaZafon). The mortar shells fell in open areas near Shomera.",mortar,0,0
Dishon,"33.0814, 35.5174",01-12-2023,"On 1 December 2023, Hezbollah forces fired missiles, including a Katyusha rocket, from Lebanon toward the area of Dishon (Zefat, HaZafon). No direct hits to populated areas were reported, as the missiles likely fell in open areas.",missiles,0,0
Rosh HaNikra,"33.0861, 35.1135",01-12-2023,"On 1 December 2023, Hezbollah forces fired several rockets from Lebanon toward IDF posts near Rosh HaNikra (Akko, HaZafon). No interceptions or direct hits to populated areas were reported, as the rockets likely fell in open areas.",rockets,0,0
Margaliyyot,"33.2147, 35.5449",01-12-2023,"On 1 December 2023, Hezbollah forces fired several rockets from Lebanon toward IDF posts near Margaliyyot (Zefat, HaZafon). No interceptions or direct hits to populated areas were reported, as the rockets likely fell in open areas.",rockets,0,0
Dafna,"33.2301, 35.6387",01-12-2023,"Interception: On 1 December 2023, Israeli military forces intercepted a \",unknown,0,0
Kiryat Shmona,"33.2073, 35.572",01-12-2023,"On 1 December 2023, Hezbollah forces fired rockets toward Kiryat Shmona (Zefat, HaZafon) and surrounding areas. Two of the rockets were intercepted, while the rest likely fell in open areas near Kiryat Shmona.",rockets,0,0
Dovev,"33.0522, 35.4081",30-11-2023,"Interception: On 30 November 2023, the iron dome intercepted a \",unknown,0,0
Kiryat Ata,"32.8115, 35.1132",25-11-2023,"Interception: On 25 November 2023, Israeli military forces intercepted a surface-to-air missile that targeted an Israeli drone, causing sirens to sound in the Krayot, around the area of Kiryat Ata (Haifa), and surrounding areas. The missile was likely launched by Hezbollah.",drone,0,0
Elon,"33.0637, 35.2201",25-11-2023,"Interception: On 25 November 2023, Israeli military forces launched an interceptor at an aerial target in the Upper Galilee, causing sirens to sound in Elon, near Shlomi (Akko, HaZafon), and surrounding areas. No further details regarding the aerial target were provided. The target was presumably launched from Lebanon by Hezbollah.",aerial target,0,0
Yiftah,"33.1288, 35.5523",25-11-2023,"Interception: On 25 November 2023, Israeli military forces intercepted a \",unknown,0,0
Shlomi,"33.0726, 35.1458",23-11-2023,"On 23 November 2023, Hezbollah forces fired dozens of missiles from Lebanon toward northern Israel, causing sirens to sound in Shlomi (Akko, HaZafon) and surrounding areas. Damage was caused to a vehicle and an agricultural farm due a direct hit near Shlomi. Most of the other projectiles fell in open areas. Hezbollah forces fired about 80 rockets, missiles, and mortars from Lebanon toward localities in northern Israel throughout the day. At least 13 fell within Lebanese territory. Most of the other projectiles fell in open areas within Israel, while a few hit populated areas and several were intercepted.",rockets,0,0
Aramsha,"33.0878, 35.2284",23-11-2023,"On 23 November 2023, Hezbollah forces fired dozens of missiles from Lebanon toward northern Israel, causing sirens to sound in Aramsha (Akko, HaZafon) and surrounding areas. Not all of the projectiles hit populated areas, as some of the missiles likely fell in open areas near Aramsha. Hezbollah forces fired about 80 rockets, missiles, and mortars from Lebanon toward localities in northern Israel throughout the day. At least 13 fell within Lebanese territory. Most of the other projectiles fell in open areas within Israel, while a few hit populated areas and several were intercepted.",rockets,0,0
Biranit,"33.0583, 35.3415",23-11-2023,"On 23 November 2023, Hezbollah forces fired mortar bombs and anti-tank missiles that targeted IDF posts along the border, presumably in the area of Biranit (Akko, HaZafon) and surrounding areas. No injuries or damages were reported, as the mortars likely fell in open areas. Hezbollah forces fired about 80 rockets, missiles, and mortars from Lebanon toward localities in northern Israel throughout the day. At least 13 fell within Lebanese territory. Most of the other projectiles fell in open areas within Israel, while a few hit populated areas and several were intercepted.",rockets,0,0
Biranit,"33.0583, 35.3415",23-11-2023,"On 23 November 2023, Hezbollah forces fired an anti-tank missile from Lebanon at an IDF base in Biranit (Akko, HaZafon). The missile likely landed in an open area. Hezbollah forces fired about 80 rockets, missiles, and mortars from Lebanon toward localities in northern Israel throughout the day. At least 13 fell within Lebanese territory. Most of the other projectiles fell in open areas within Israel, while a few hit populated areas and several were intercepted.",rockets,0,0
Safed,"32.9647, 35.496",23-11-2023,"On 23 November 2023, Hezbollah forces fired dozens of missiles from Lebanon toward northern Israel, including targeting an IDF base near Safed (Zefat, HaZafon). No direct hits were reported, as a number of rockets were intercepted over the area of Safed, while others likely fell in open areas. Hezbollah forces fired about 80 rockets, missiles, and mortars from Lebanon toward localities in northern Israel throughout the day. At least 13 fell within Lebanese territory. Most of the other projectiles fell in open areas within Israel, while a few hit populated areas and several were intercepted.",rockets,0,0
Dalton,"33.0164, 35.489",23-11-2023,"On 23 November 2023, Hezbollah forces fired dozens of missiles from Lebanon toward northern Israel, causing sirens to sound in Dalton (Zefat, HaZafon) and surrounding areas. At least six missiles were intercepted over the area of Dalton, while others likely fell in open areas. Hezbollah forces fired about 80 rockets, missiles, and mortars from Lebanon toward localities in northern Israel throughout the day. At least 13 fell within Lebanese territory. Most of the other projectiles fell in open areas within Israel, while a few hit populated areas and several were intercepted.",rockets,0,0
Margaliyyot,"33.2147, 35.5449",23-11-2023,"On 23 November 2023, Hezbollah forces fired missiles from Lebanon at Margaliyyot (Zefat, HaZafon). No direct hits to populated areas were reported, as the projectiles likely landed in open areas. Hezbollah forces fired about 80 rockets, missiles, and mortars from Lebanon toward localities in northern Israel throughout the day. At least 13 fell within Lebanese territory. Most of the other projectiles fell in open areas within Israel, while a few hit populated areas and several were intercepted.",rockets,0,0
Menara,"33.1969, 35.5439",23-11-2023,"On 23 November 2023, Hezbollah forces fired dozens of missiles from Lebanon toward northern Israel, including Menara (Zefat, HaZafon). Two homes were hit and damaged by direct hits from anti-tank missiles. No injuries occurred. Hezbollah forces fired about 80 rockets, missiles, and mortars from Lebanon toward localities in northern Israel throughout the day. At least 13 fell within Lebanese territory. Most of the other projectiles fell in open areas within Israel, while a few hit populated areas and several were intercepted.",rockets,0,0
Menara,"33.1969, 35.5439",23-11-2023,"On 23 November 2023, Hezbollah forces fired dozens of missiles from Lebanon toward northern Israel, causing sirens to sound in Menara (Zefat, HaZafon) and surrounding areas. Not all of the missiles hit populated areas, as some were intercepted over the area of Menara and others fell in open areas. Hezbollah forces fired about 80 rockets, missiles, and mortars from Lebanon toward localities in northern Israel throughout the day. At least 13 fell within Lebanese territory. Most of the other projectiles fell in open areas within Israel, while a few hit populated areas and several were intercepted.",rockets,0,0
Kiryat Shmona,"33.2073, 35.572",23-11-2023,"On 23 November 2023, Hezbollah forces fired dozens of missiles from Lebanon toward northern Israel, causing sirens to sound in Kiryat Shmona (Zefat, HaZafon) and surrounding areas. Not all of the projectiles hit populated areas, as most likely fell in open areas. Hezbollah forces fired about 80 rockets, missiles, and mortars from Lebanon toward localities in northern Israel throughout the day. At least 13 fell within Lebanese territory. Most of the other projectiles fell in open areas within Israel, while a few hit populated areas and several were intercepted.",rockets,0,0
Yiftah,"33.1288, 35.5523",23-11-2023,"On 23 November 2023, a missile launched by Hezbollah forces from Lebanon landed in an open area near Yiftah (Zefat, HaZafon). No injuries or damages were caused. Hezbollah forces fired about 80 rockets, missiles, and mortars from Lebanon toward localities in northern Israel throughout the day. At least 13 fell within Lebanese territory. Most of the other projectiles fell in open areas within Israel, while a few hit populated areas and several were intercepted.",rockets,0,0
Malkiyya,"33.0983, 35.5108",22-11-2023,"On 22 November 2023, Hezbollah forces fired a number of mortars toward an IDF post in the area of Malkiyya (Zefat, HaZafon). No interceptions or direct hits to populated areas were reported, as the mortars likely fell in open areas.",mortar,0,0
Hanita,"33.0875, 35.1736",22-11-2023,"On 22 November 2023, Hezbollah forces fired missiles toward Hanita (Akko, HaZafon) and surrounding areas. No interceptions or direct hits to populated areas were reported, as the projectiles fell in open areas.",missiles,0,0
Zarit,"33.0996, 35.2889",22-11-2023,"On 22 November 2023, Hezbollah forces fired two \",unknown,0,0
Yiftah,"33.1288, 35.5523",22-11-2023,"On 22 November 2023, Hezbollah forces fired a number of missiles and mortars from Lebanon toward northern Israel, causing sirens to sound in Yiftah (Zefat, HaZafon) and surrounding areas. No interceptions or direct hits to populated areas were reported, as the projectiles landed in open areas.",missiles,0,0
Shlomi,"33.0726, 35.1458",21-11-2023,"Interception: On 21 November 2023, Israeli military forces intercepted a number of \",unknown,0,0
Baram,"33.0592, 35.4338",21-11-2023,"On 21 November 2023, Hezbollah forces fired mortar bombs from Lebanon toward the area of Baram (Zefat, HaZafon). No interceptions or direct hits to populated areas were reported, as the mortars likely fell in open areas near Baram.",mortar,0,0
Metulla,"33.2792, 35.5795",21-11-2023,"On 21 November 2023, Hezbollah forces fired three anti-tank missiles from Lebanon at Metulla (Zefat, HaZafon). One of the missiles hit a residence in the town, causing property damage. No injuries occurred.",missiles,0,0
Margaliyyot,"33.2147, 35.5449",21-11-2023,"On 21 November 2023, Hezbollah forces fired several mortars from Lebanon toward an IDF post near the border, presumably near Margaliyyot (Zefat, HaZafon), though an exact location was not specified. No injuries, interceptions, or direct hits were reported, as the mortars likely fell in open areas.",mortar,0,0
Hanita,"33.0875, 35.1736",21-11-2023,"On 21 November 2023, Hezbollah forces fired a number of missiles from Lebanon toward northern Israel, causing sirens to sound in Hanita (Akko, HaZafon) and surrounding towns. No interceptions or direct hits to populated areas were reported, as the rockets likely fell in open areas near Hanita.",rockets,0,0
Menara,"33.1969, 35.5439",21-11-2023,"On 21 November 2023, Hezbollah forces fired two anti-tank missiles from Lebanon toward the area of Menara (Zefat, HaZafon). No interceptions or direct hits to populated areas were reported, as the missiles likely fell in open areas near Menara.",missiles,0,0
Kiryat Shmona,"33.2073, 35.572",21-11-2023,"On 21 November 2023, Hezbollah forces fired a number of missiles from Lebanon toward northern Israel, causing sirens to sound in Kiryat Shmona (Zefat, HaZafon) and surrounding towns. One rocket was intercepted, while at least two of the rockets fell in open areas near Kiryat Shmona.",rockets,0,0
Aramsha,"33.0878, 35.2284",20-11-2023,"On 20 November 2023, Hezbollah forces fired a number of projectiles toward Aramsha (Akko, HaZafon). The projectiles landed in open areas near Aramsha.",projectile,0,0
Baram,"33.0592, 35.4338",20-11-2023,"On 20 November 2023, Hezbollah forces launched three attack drones from Lebanon that fell and damaged an IDF post in northern Israel, presumably near Baram (Zefat, HaZafon). No injuries occurred. Hezbollah launched other projectiles toward Baram that landed in open areas.",drone,0,0
Biranit,"33.0583, 35.3415",20-11-2023,"On 20 November 2023, Hezbollah forces fired a number of mortar bombs toward Biranit (Akko, HaZafon). Most of the projectiles landed in open areas. Heavy damage and a fire were also caused at an IDF base near Biranit.",mortar,0,0
Margaliyyot,"33.2147, 35.5449",20-11-2023,"On 20 November 2023, Hezbollah launched a barrage of about 25 missiles and mortars from Lebanon toward northern Israel, causing sirens to sound in Menara, Kiryat Shmona, and Margaliyyot (Zefat, HaZafon). One rocket hit a house in Margaliyyot, causing property damage. No injuries occurred.",missiles,0,0
Misgav Am,"33.2474, 35.5489",20-11-2023,"On 20 November 2023, Hezbollah forces fired at least ten missiles from Lebanon toward northern Israel, causing sirens to sound in Misgav Am (Zefat, HaZafon) and surrounding areas. All of the missiles fell in open areas near Misgav Am.",missiles,0,0
Menara,"33.1969, 35.5439",20-11-2023,"On 20 November 2023, Hezbollah launched a barrage of about 25 missiles and mortars from Lebanon toward northern Israel, causing sirens to sound in Kiryat Shmona, Margaliyyot, and Menara (Zefat, HaZafon). At least three rockets were intercepted above the area of Kiryat Shmona and Menara, while the rest fell in nearby open areas.",rockets,0,0
Kiryat Shmona,"33.2073, 35.572",20-11-2023,"On 20 November 2023, Hezbollah launched a barrage of about 25 missiles and mortars from Lebanon toward northern Israel, causing sirens to sound in Margaliyyot, Menara, and Kiryat Shmona (Zefat, HaZafon). At least three rockets were intercepted above the area of Kiryat Shmona and Menara, while the rest fell in nearby open areas. At least one drone (presumably armed) was also intercepted over the area of Kiryat Shmona.",rockets,0,0
Shlomi,"33.0726, 35.1458",19-11-2023,"On 19 November 2023, Hezbollah forces launched about ten mortar shells from Lebanon toward Shlomi (Akko, HaZafon). No interceptions or direct hits to populated areas were reported, as all of the mortars fell in open areas near Shlomi.",mortar,0,0
Malkiyya,"33.0983, 35.5108",19-11-2023,"On 19 November 2023, Hezbollah forces fired two projectiles from Lebanon toward northern Israel, with one landing in Yiftah and the second landing in Malkiyya (Zefat, HaZafon). No injuries were caused.",projectile,0,0
Safed,"32.9647, 35.496",19-11-2023,"Interception: On 19 November 2023, Israeli military forces intercepted a \",unknown,0,0
Margaliyyot,"33.2147, 35.5449",19-11-2023,"Interception: On 19 November 2023, Israeli military forces intercepted a \",unknown,0,0
Misgav Am,"33.2474, 35.5489",19-11-2023,"On 19 November 2023, Hezbollah forces fired a number of mortars from Lebanon toward Misgav Am (Zefat, HaZafon). The mortars fell in open areas near Misgav Am.",mortar,0,0
Yiftah,"33.1288, 35.5523",19-11-2023,"On 19 November 2023, Hezbollah forces fired two projectiles from Lebanon toward northern Israel, with one landing in Malkiyya and the second landing in Yiftah (Zefat, HaZafon). No injuries were caused.",projectile,0,0
Kefar Giladi,"33.2423, 35.5752",19-11-2023,"On 19 November 2023, Hezbollah forces fired two missiles from Lebanon toward Kefar Giladi (Zefat, HaZafon). The missiles fell in open areas near the town.",missiles,0,0
Dovev,"33.0522, 35.4081",18-11-2023,"On 18 November 2023, Hezbollah forces fired about 25 missiles from Lebanon toward northern Israel, causing sirens to sound in Shetula and Sasa, near Dovev (Zefat, HaZafon). No interceptions or direct hits to populated areas were reported, as the missiles fell in open areas near Sasa and Shetula.",missiles,0,0
Margaliyyot,"33.2147, 35.5449",18-11-2023,"On 18 November 2023, Hezbollah forces fired a number of surface-to-surface missiles from Lebanon toward northern Israel, causing sirens to sound in the area of Margaliyyot (Zefat, HaZafon). No interceptions or direct hits to populated areas were reported, as the missiles likely fell in open areas. Some of the missiles targeted IDF posts in the area.",missiles,0,0
Shetula,"33.0852, 35.3149",18-11-2023,"On 18 November 2023, Hezbollah forces fired about 25 missiles from Lebanon toward northern Israel, causing sirens to sound in Sasa and Shetula (Akko, HaZafon). No interceptions or direct hits to populated areas were reported, as the missiles fell in an open areas near Shetula and Sasa.",missiles,0,0
Kiryat Shmona,"33.2073, 35.572",18-11-2023,"On 18 November 2023, Hezbollah forces fired a number of surface-to-surface missiles from Lebanon toward northern Israel, causing sirens to sound in the area of Kiryat Shmona (Zefat, HaZafon). No interceptions or direct hits to populated areas were reported, as the missiles likely fell in open areas.",missiles,0,0
Aramsha,"33.0878, 35.2284",17-11-2023,"On 17 November 2023, Hezbollah forces fired several mortars from Lebanon toward northern Israeli communities, causing sirens to sound in Aramsha (Akko, HaZafon) and surrounding areas. All of the mortars fell in open areas. No injuries or damages were caused.",mortar,0,0
Malkiyya,"33.0983, 35.5108",17-11-2023,"On 17 November 2023, Hezbollah forces fired a number of mortars and anti-tank missiles toward the area of Malkiyya (Zefat, HaZafon), with some launches targeting an IDF post in the area. No injuries or direct hits to populated areas were reported, as the rockets likely fell in open areas.",rockets,0,0
Metulla,"33.2792, 35.5795",17-11-2023,"Interception: On 17 November 2023, Israeli military forces intercepted a \",unknown,0,0
Shetula,"33.0852, 35.3149",17-11-2023,"On 17 November 2023, Hezbollah forces fired anti-tank missiles from Lebanon toward Shetula (Akko, HaZafon) and surrounding areas. No interceptions or direct hits to populated areas were reported, as the rockets presumably fell in open areas.",rockets,0,0
Menara,"33.1969, 35.5439",17-11-2023,"On 17 November 2023, Hezbollah forces fired two anti-tank missiles toward the area of Menara (Zefat, HaZafon). Four Israeli civilians were injured due to direct hits near Menara.",missiles,1,0
Menara,"33.1969, 35.5439",17-11-2023,"On 17 November 2023, Hezbollah forces fired a number of rockets toward IDF posts on the Israeli side of the border, including near Menara (Zefat, HaZafon). No injuries or direct hits to populated areas were reported, as the rockets likely fell in open areas.",rockets,0,0
Biranit,"33.0583, 35.3415",16-11-2023,"On 16 November 2023, Hezbollah forces fired a number of anti-tank missiles from Lebanon toward an IDF post in the area of Biranit (Akko, HaZafon). No interceptions or direct hits to populated areas were reported, as the missiles presumably fell in open areas.",missiles,0,0
Dovev,"33.0522, 35.4081",16-11-2023,"On 16 November 2023, Hezbollah forces fired an anti-tank missile from Lebanon toward an IDF post in the area of Dovev (Zefat, HaZafon). No interceptions or direct hits to populated areas were reported, as the missile likely fell in an open area.",anti-tank,0,0
Rosh HaNikra,"33.0861, 35.1135",16-11-2023,"On 16 November 2023, Hezbollah forces fired a number of anti-tank missiles from Lebanon toward the area of Rosh HaNikra (Akko, HaZafon). No interceptions or direct hits to populated areas were reported, as the missiles presumably fell in open areas.",missiles,0,0
Metulla,"33.2792, 35.5795",16-11-2023,"On 16 November 2023, Hezbollah forces fired missiles from Lebanon toward an IDF post in the area of Metulla (Zefat, HaZafon). No interceptions or direct hits to populated areas were reported, as the missiles presumably fell in open areas.",missiles,0,0
Shetula,"33.0852, 35.3149",16-11-2023,"On 16 November 2023, Hezbollah forces launched a number of missiles from Lebanon toward northern Israel, causing sirens to sound in Shetula (Akko, HaZafon) and surrounding areas. No interceptions or direct hits to populated areas were reported, as the missiles likely fell in open areas.",missiles,0,0
Misgav Am,"33.2474, 35.5489",16-11-2023,"On 16 November 2023, Hezbollah forces launched at least three anti-tank missiles from Lebanon toward the area of Misgav Am (Zefat, HaZafon). No interceptions or direct hits to populated areas were reported, as the missiles fell in open areas and caused damage.",missiles,0,0
Yiftah,"33.1288, 35.5523",16-11-2023,"On 16 November 2023, Hezbollah forces fired missiles from Lebanon toward an IDF post in the area of Yiftah (Zefat, HaZafon). No interceptions or direct hits to populated areas were reported, as the missiles presumably fell in open areas.",missiles,0,0
Shlomi,"33.0726, 35.1458",15-11-2023,"On 15 November 2023, Hezbollah forces fired several missiles from Lebanon toward northern Israel, with one rocket landing in an open area in Shlomi (Akko, HaZafon). No injuries were reported.",missiles,0,0
Mattat,"33.0413, 35.3586",15-11-2023,"On 15 November 2023, Hezbollah forces fired over 20 missiles from Lebanon toward northern Israel, causing sirens to sound in Mattat (Akko, HaZafon) and surrounding areas. No interceptions or direct hits to populated areas were reported, as the missiles presumably fell in open areas.",missiles,0,0
Margaliyyot,"33.2147, 35.5449",15-11-2023,"On 15 November 2023, Hezbollah forces fired over 20 missiles from Lebanon toward northern Israel, causing sirens to sound in Margaliyyot (Zefat, HaZafon) and surrounding areas. No interceptions or direct hits to populated areas were reported, as the missiles presumably landed in open areas.",missiles,0,0
Kiryat Shmona,"33.2073, 35.572",15-11-2023,"On 15 November 2023, Hezbollah forces fired over 20 missiles from Lebanon toward northern Israel, including Kiryat Shmona (Zefat, HaZafon). 15 of the missiles fell in open areas outside of Kiryat Shmona.",missiles,0,0
Aramsha,"33.0878, 35.2284",14-11-2023,"On 14 November 2023, Hezbollah forces launched anti-tank missiles and mortars from Lebanon toward several locations in northern Israel, including an IDF post in Aramsha (Akko, HaZafon). No injuries, interceptions, or direct hits to populated areas were reported, as the launches presumably fell in open areas.",missiles,0,0
Mattat,"33.0413, 35.3586",14-11-2023,"On 14 November 2023, Hezbollah forces launched anti-tank missiles and mortars from Lebanon toward several locations in northern Israel, including Mattat (Akko, HaZafon). No injuries, interceptions, or direct hits to populated areas were reported, as the launches presumably fell in open areas.",missiles,0,0
Malkiyya,"33.0983, 35.5108",14-11-2023,"On 14 November 2023, Hezbollah forces fired an anti-tank missile and other projectiles from Lebanon toward an IDF post in the area of Malkiyya (Zefat, HaZafon). One projectile was intercepted, while the rest fell in open areas.",anti-tank,0,0
Margaliyyot,"33.2147, 35.5449",14-11-2023,"On 14 November 2023, Hezbollah forces launched mortars and at least two anti-tank missiles from Lebanon toward several locations in northern Israel, including IDF posts in the area of Margaliyyot (Zefat, HaZafon). No injuries, interceptions, or direct hits to populated areas were reported, as the launches presumably fell in open areas.",missiles,0,0
Shomera,"33.0827, 35.2838",14-11-2023,"On 14 November 2023, Hezbollah forces launched anti-tank missiles and mortars from Lebanon toward several locations in northern Israel, including the area of Shomera (Akko, HaZafon). No injuries, interceptions, or direct hits to populated areas were reported, as the launches presumably fell in open areas.",missiles,0,0
Misgav Am,"33.2474, 35.5489",14-11-2023,"On 14 November 2023, Hezbollah militants fired with small arms from Lebanon at Misgav Am (Zefat, HaZafon). Israeli military forces then attacked the sources of the shooting.",unknown,0,0
Yiftah,"33.1288, 35.5523",14-11-2023,"On 14 November 2023, Hezbollah forces launched anti-tank missiles and mortars from Lebanon toward several locations in northern Israel, including an IDF post in Yiftah (Zefat, HaZafon). No injuries, interceptions, or direct hits to populated areas were reported, as the launches presumably fell in open areas.",missiles,0,0
Aramsha,"33.0878, 35.2284",13-11-2023,"On 13 November 2023, Hezbollah forces fired at least 18 mortar bombs from Lebanon toward northern Israel, causing sirens to sound in Aramsha (Akko, HaZafon) and surrounding northern communities. All of the mortars fell in open areas.",mortar,0,0
Baram,"33.0592, 35.4338",13-11-2023,"On 13 November 2023, Hezbollah forces fired an anti-tank missile from Lebanon toward an IDF post near Baram (Zefat, HaZafon). There were no casualties.",anti-tank,0,0
Shetula,"33.0852, 35.3149",13-11-2023,"On 13 November 2023, Hezbollah forces fired missiles from Lebanon toward an IDF post in the area of Shetula (Akko, HaZafon). No injuries were reported.",missiles,0,0
Margaliyyot,"33.2147, 35.5449",13-11-2023,"On 13 November 2023, Hezbollah forces fired several missiles from Lebanon into northern Israel, presumably near Margaliyyot (Zefat, HaZafon). One of the rockets was intercepted by the iron dome, while the rest fell in open areas, presumably around the area of Margaliyyot.",rockets,0,0
Kiryat Ata,"32.8115, 35.1132",12-11-2023,"Interception: On 12 November 2023, militants in Lebanon fired at least 15 missiles into northern Israel, causing sirens to sound in Kiryat Ata (Haifa) and other northern Israeli towns. Some of the missiles were intercepted over Kiryat Ata. Both Hezbollah and Hamas forces in Lebanon fired the missiles.",missiles,0,0
Dovev,"33.0522, 35.4081",12-11-2023,"On 12 November 2023, Hezbollah forces fired anti-tank missiles from Lebanon toward the area of Dovev (Zefat, HaZafon) in northern Israel. At least six civilians, including employees of the Israel Electric Corporation, were injured as a result of a direct hit near Dovev. Some estimates state that as many as 15 civilians were injured by the direct hit. One person was critically injured, while several others were seriously wounded. One of the injured electric company workers died when he succumbed to his wounds the next day.",missiles,1,0
Nahariyya,"33.0089, 35.0981",12-11-2023,"On 12 November 2023, militants in Lebanon fired at least 15 missiles into northern Israel, causing sirens to sound in Nahariyya (Akko, HaZafon) and other northern Israeli towns. Israeli military forces intercepted four of the missiles fired toward northern Israel. The rest fell in open areas, some of which presumably fell near Nahariyya. Both Hezbollah and Hamas forces in Lebanon fired the missiles.",missiles,0,0
Menara,"33.1969, 35.5439",12-11-2023,"On 12 November 2023, Hezbollah forces fired mortar bombs at IDF posts in Menara (Zefat, HaZafon). As a result, seven soldiers were injured.",mortar,1,0
Akko,"32.9281, 35.0765",12-11-2023,"On 12 November 2023, militants in Lebanon fired at least 15 missiles into northern Israel, causing sirens to sound in Akko (HaZafon) and other northern Israeli towns. Israeli military forces intercepted four of the missiles fired toward northern Israel. The rest fell in open areas, some of which presumably fell near Akko. Both Hezbollah and Hamas forces in Lebanon fired the missiles.",missiles,0,0
Kiryat Shmona,"33.2073, 35.572",12-11-2023,"On 12 November 2023, militants in Lebanon fired at least 15 missiles into northern Israel, causing sirens to sound in Kiryat Shmona (Zefat, HaZafon) and other northern Israeli towns. Israeli military forces intercepted four of the missiles fired toward northern Israel. The rest fell in open areas, some of which presumably fell near Kiryat Shmona. Both Hezbollah and Hamas forces in Lebanon fired the missiles.",missiles,0,0
Margaliyyot,"33.2147, 35.5449",11-11-2023,"On 11 November 2023, Hezbollah forces fired mortars and anti-tank missiles toward IDF posts along the border with Lebanon, near Margaliyyot (Zefat, HaZafon). No direct hits to populated areas or interceptions were reported. At least one missile fell in an open area, causing damage.",missiles,0,0
Shetula,"33.0852, 35.3149",11-11-2023,"On 11 November 2023, Hezbollah forces fired an unspecified number of missiles from Lebanon that landed in open areas in the Upper Galilee, presumably near Shetula (Akko, HaZafon).",missiles,0,0
Kabri,"33.0209, 35.1484",11-11-2023,"Interception: On 11 November 2023, Israeli military forces intercepted a \",unknown,0,0
Aramsha,"33.0878, 35.2284",10-11-2023,"On 10 November 2023, Hezbollah forces fired two mortar bombs from Lebanon at Aramsha (Akko, HaZafon). Both mortars fell in open areas. No injuries or damages were caused.",mortar,0,0
Margaliyyot,"33.2147, 35.5449",10-11-2023,"On 10 November 2023, two IDF soldiers were injured, one of them seriously, in a drone attack from Lebanon, toward the area of the Upper Galilee Regional council, presumably near Margaliyyot (Zefat, HaZafon). Hezbollah claimed responsibility for launching three attack drones at northern Israel. One of them was intercepted, while two landed in Israel and caused injuries to the soldiers.",drone,1,0
Margaliyyot,"33.2147, 35.5449",10-11-2023,"On 10 November 2023, Hezbollah militants fired an anti-tank missile from Lebanon that landed near Margaliyyot (Zefat, HaZafon). As a result, one person was injured.",anti-tank,0,0
Menara,"33.1969, 35.5439",10-11-2023,"On 10 November 2023, three Israeli soldiers were seriously injured by anti-tank missiles fired from Lebanon at an IDF post near Menara (Zefat, HaZafon). Hezbollah claimed responsibility for the anti-tank fire.",missiles,0,0
Aramsha,"33.0878, 35.2284",09-11-2023,"On 9 November 2023, Hezbollah forces fired an anti-tank missile from Lebanon toward the area of Adamit, near Aramsha (Akko, HaZafon). No injuries were caused. The missile presumably fell in an open area. Since the beginning of the war, about 9,500 rockets have been fired toward Israel, mostly from Gaza. About 12% of launches from Gaza fell within the Strip, while about 2,000 projectiles were intercepted by Israeli air defense systems.",rockets,0,0
Metulla,"33.2792, 35.5795",09-11-2023,"On 9 November 2023, Hezbollah forces fired at least eight anti-tank missiles and opened fire machine gun fire from Lebanon toward an IDF post near Metulla (Zefat, HaZafon). No injuries were caused. Since the beginning of the war, about 9,500 rockets have been fired toward Israel, mostly from Gaza. About 12% of launches from Gaza fell within the Strip, while about 2,000 projectiles were intercepted by Israeli air defense systems.",rockets,0,0
Margaliyyot,"33.2147, 35.5449",09-11-2023,"On 9 November 2023, Hezbollah forces fired anti-tank missiles from Lebanon at an IDF post near Margaliyyot (Zefat, HaZafon). No injuries were caused. Since the beginning of the war, about 9,500 rockets have been fired toward Israel, mostly from Gaza. About 12% of launches from Gaza fell within the Strip, while about 2,000 projectiles were intercepted by Israeli air defense systems.",rockets,0,0
Shetula,"33.0852, 35.3149",09-11-2023,"On 9 November 2023, Hezbollah forces fired a number of mortars from Lebanon toward northern Israel, causing sirens to sound in Shetula (Akko, HaZafon) and surrounding areas. No injuries or direct hits to populated areas were reported, as the mortars presumably fell in open areas. Since the beginning of the war, about 9,500 rockets have been fired toward Israel, mostly from Gaza. About 12% of launches from Gaza fell within the Strip, while about 2,000 projectiles were intercepted by Israeli air defense systems.",rockets,0,0
Dovev,"33.0522, 35.4081",08-11-2023,"On 8 November 2023, Hezbollah forces fired an anti-tank missile from Lebanon toward the area of Dovev (Zefat, HaZafon). As a result, two Israeli soldiers were injured.",anti-tank,1,0
Shetula,"33.0852, 35.3149",08-11-2023,"On 8 November 2023, Hezbollah forces fired at least two rockets toward the areas of Yiftah and Shetula (Akko, HaZafon). No interceptions or direct hits populated areas were reported, as the rockets presumably fell in open areas.",rockets,0,0
Yiftah,"33.1288, 35.5523",08-11-2023,"On 8 November 2023, Hezbollah forces fired at least two rockets toward the areas of Shetula and Yiftah (Zefat, HaZafon). No interceptions or direct hits populated areas were reported, as the rockets presumably fell in open areas.",rockets,0,0
