Location,Date,Description,Weaponry,Casulties,Shot Down
Mays el Jabal,27-04-2024,"On 27 April 2024, the Israeli military fired artillery shells near the State Hospital in Mays el Jabal town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military also dropped thermal balloons in the vicinity of the hospital. There were no casualties.",shells,0,0
Mays el Jabal,27-04-2024,"On 27 April 2024, the Israeli military fired artillery shells in the vicinity of Mays el Jabal town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Qouzah,27-04-2024,"On 27 April 2024, Israeli warplanes carried out an airstrike targeting a house in the vicinity of Qouzah town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Ras al Naqoura,27-04-2024,"On 27 April 2024, the Israeli military fired artillery shells in the vicinity of Ras al Naqoura town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Srebbine,27-04-2024,"On 27 April 2024, Israeli warplanes carried out an airstrike targeting a house in Srebbine town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military announced that it had struck military infrastructure for Hezbollah in the town. Fourteen civilians, including two Syrian refugees, were injured in the attack.",airstrike,1,0
Srebbine,27-04-2024,"On 27 April 2024, Israeli warplanes carried out an airstrike in the vicinity of Srebbine town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Tayr Harfa,27-04-2024,"On 27 April 2024, Israeli warplanes carried out an airstrike targeting the vicinity of Tayr Harfa town (Tyr, South) amid ongoing hostilities with Hezbollah. The Israeli military also fired artillery shells in the vicinity of the town. There were no casualties.",airstrike,0,0
Yarine,27-04-2024,"On 27 April 2024, the Israeli military fired artillery shells in the vicinity of Yarine town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Coast of Ras al Naqoura,21-06-2024,"On 21 June 2024, Hezbollah attacked an Israeli military site with suicide drones of the Coast of Ras al Naqoura town (Tyr, South). The group announced it had achieved direct hits. There were no casualties.",drone,0,0
Khiyam,21-06-2024,"On 21 June 2024, Israeli warplanes carried out two airstrikes in Khiyam town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military announced it had struck military infrastructure for Hezbollah in the town. There were no casualties.",airstrike,0,0
Mays el Jabal,21-06-2024,"On 21 June 2024, Israeli warplanes carried out an airstrike in Mays el Jabal town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military announced it had struck military infrastructure for Hezbollah in the town. There were no casualties.",airstrike,0,0
Talouseh,21-06-2024,"On 21 June 2024, Israeli warplanes carried out an airstrike in Talouseh town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military announced it had struck military infrastructure for Hezbollah in the town. There were no casualties.",airstrike,0,0
Taybeh,21-06-2024,"On 21 June 2024, Israeli warplanes carried out an airstrike in Taybeh town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military announced it had struck military infrastructure for Hezbollah in the town. There were no casualties.",airstrike,0,0
Chebaa,21-06-2024,"On 21 June 2024, Hezbollah fired several missiles targeting the Rwayset al Qarn and Zebdine Israeli military site in occupied Chebaa farms (Hasbeiya, Al Nabatieh). The group announced it had achieved direct hits. There were no casualties.",missiles,0,0
Deir Mimas,21-06-2024,"On 21 June 2024, the Israeli military fired white phosphorus shells in the vicinity of Deir Mimas town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties. International organizations have accused Israel of using white phosphorous bombs during the current war between Hezbollah and Israel.",shells,0,0
Deir Siriane,21-06-2024,"On 21 June 2024, the Israeli military fired white phosphorus shells in the vicinity of Deir Siriane town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties. International organizations have accused Israel of using white phosphorous bombs during the current war between Hezbollah and Israel.",shells,0,0
Kfar Chouba,21-06-2024,"On 21 June 2024, Hezbollah fired several missiles targeting the Ramtha and Al Samaka Israeli military sites in Kfar Chouba hills (Hasbeiya, Al Nabatieh). The group announced it had achieved direct hits. There were no casualties.",missiles,0,0
Kfar Hamam,21-06-2024,"On 21 June 2024, the Israeli military fired artillery shells in the vicinity of Kfar Hamam town (Hasbeiya, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Kfar Kila,21-06-2024,"On 21 June 2024, the Israeli military fired white phosphorus shells in the vicinity of Kfar Kila town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties. International organizations have accused Israel of using white phosphorous bombs during the current war between Hezbollah and Israel.",shells,0,0
Aadayseh Marjayoun,21-06-2024,"On 21 June 2024, Israeli warplanes carried out an airstrike in Aadayseh Marjayoun (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Al Wazzani,21-06-2024,"On 21 June 2024, Israeli warplanes carried out an airstrike and the Israeli military used machine gunfire towards Al Wazzani town (Hasbeiya, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Deir Siriane,21-06-2024,"On 21 June 2024, Israeli warplanes carried out an airstrike in Deir Siriane town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Taybeh,21-06-2024,"On 21 June 2024, the Israeli military fired white phosphorus shells in the vicinity of Taybeh town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties. International organizations have accused Israel of using white phosphorous bombs during the current war between Hezbollah and Israel.",shells,0,0
Yaroun,21-06-2024,"On 21 June 2024, the Israeli military fired artillery shells towards Yaroun town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Aaziyyeh,21-06-2024,"On 21 June 2024, the Israeli military fired four artillery shells towards the hills of Aaziyyeh town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Rab el Thalathine,21-06-2024,"On 21 June 2024, Israeli warplanes carried out an airstrike in Rab el Thalathine town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Ed Dhayra,21-06-2024,"Other: On 21 June 2024, the Israeli military dropped highly flammable material targeting an open area in the Tal al Ismail area in western Ed Dhayra town (Tyr, South). There were no casualties.",unknown,0,0
Ras al Naqoura,21-06-2024,"On 21 June 2024, the Israeli military fired artillery shells targeting a house in the vicinity of Ras al Naqoura town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Ras al Naqoura,21-06-2024,"On 21 June 2024, the Israeli military fired artillery shells targeting the town center in Ras al Naqoura town (Tyr, South) amid ongoing hostilities with Hezbollah. The shelling led to the breakout of a fire in a truck parked on the side of the road. There were no casualties.",shells,0,0
Deir Kifa,20-06-2024,"On 20 June 2024, an Israeli drone struck a car with four missiles along a main road in Deir Kifa town (Tyr, South) amid ongoing hostilities with Hezbollah. A Hezbollah commander was killed in the strike.",drone,1,0
Houmine el Faouqa,20-06-2024,"On 20 June 2024, an Israeli drone struck a car with several missiles along a road in Houmine el Faouqa (Al Nabatieh, Al Nabatieh). One individual was killed in the strike.",drone,1,0
Aitaroun,20-06-2024,"On 20 June 2024, Israeli warplanes carried out an airstrike with two air-to-surface missiles in Aitaroun town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military announced it had struck military infrastructure for Hezbollah. There were no casualties.",missiles,0,0
Houla,20-06-2024,"On 20 June 2024, Israeli warplanes carried out an airstrike targeting a house in Houla town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military announced it had struck military infrastructure for Hezbollah. There were no casualties.",airstrike,0,0
Mays el Jabal,20-06-2024,"On 20 June 2024, Israeli warplanes carried out an airstrike targeting a building in the town center in Mays el Jabal town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military announced it had struck military infrastructure for Hezbollah. There were no casualties.",airstrike,0,0
Talouseh,20-06-2024,"On 20 June 2024, Israeli warplanes carried out an airstrike in Talouseh town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military announced it had struck military infrastructure for Hezbollah. There were no casualties.",airstrike,0,0
Yaroun,20-06-2024,"On 20 June 2024, Israeli warplanes carried out an airstrike with two air-to-surface missiles targeting a house in Yaroun town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military announced it had struck military infrastructure for Hezbollah. There were no casualties.",missiles,0,0
Rihan,20-06-2024,"On 20 June 2024, Israeli warplanes carried out an airstrike targeting the hills of Rihan town (Jezzine, South) amid ongoing hostilities with Hezbollah. The Israeli military announced it had struck military infrastructure for Hezbollah. There were no casualties.",airstrike,0,0
Hanniyeh,20-06-2024,"On 20 June 2024, an Israeli drone struck a pick-up truck along a road in Hanniyeh town (Tyr, South). The driver and another individual were reportedly injured in the strike.",drone,0,0
Chebaa,20-06-2024,"On 20 June 2024, Hezbollah fired several missiles targeting the Zebdine Israeli military sites in occupied Chebaa farms (Hasbeiya, Al Nabatieh). The group announced it had achieved direct hits. There were no casualties.",missiles,0,0
Kfar Chouba,20-06-2024,"On 20 June 2024, Hezbollah fired several missiles targeting Al Samaka and Rwayset al Alam Israeli military sites in Kfar Chouba hills (Hasbeiya, Al Nabatieh). The group announced it had achieved direct hits. There were no casualties.",missiles,0,0
Kfar Kila,20-06-2024,"On 20 June 2024, the Israeli military fired artillery shells towards Kfar Kila town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The shelling also targeted the outskirts of the town. There were no casualties.",shells,0,0
Khiyam,20-06-2024,"On 20 June 2024, the Israeli military fired artillery shells towards Khiyam town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Marjayoun,20-06-2024,"On 20 June 2024, the Israeli military fired artillery shells targeting the valley of Marjayoun town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Taybeh,20-06-2024,"On 20 June 2024, the Israeli military fired artillery shells towards Taybeh town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Aaziyyeh,20-06-2024,"On 20 June 2024, the Israeli military fired artillery shells targeting the hills of Aaziyyeh town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Coast of Ras al Naqoura,20-06-2024,"On 20 June 2024, Hezbollah fired several missiles targeting an Israeli military site in Coast of Ras al Naqoura town (Tyr, South). The group announced it had achieved direct hits. There were no casualties.",missiles,0,0
Jabal Safi,20-06-2024,"On 20 June 2024, the Israeli military fired artillery shells targeting Ba\",shells,0,0
Yaroun,19-06-2024,"On 19 June 2024, Israeli warplanes carried out an airstrike in Yaroun town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. Three Hezbollah members were killed in the airstrike.",airstrike,1,0
Baraachit,19-06-2024,"On 19 June 2024, Israeli warplanes carried out multiple airstrikes targeting the town center in Baraachit town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military announced it had struck military infrastructure for Hezbollah. Hezbollah announced the death of one fighter (coded to Baraachit). The circumstances of the fighter\",airstrike,0,0
Al Wazzani,19-06-2024,"On 19 June 2024, an Israeli drone struck a car in Al Wazzani town (Hasbeiya, Al Nabatieh). The driver survived the strike after throwing himself from the car prior to the strike. There were no casualties.",drone,0,0
Aadayseh Marjayoun,19-06-2024,"On 19 June 2024, the Israeli military fired white phosphorus shells in the vicinity of Aadayseh Marjayoun town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties. International organizations have accused Israel of using white phosphorous bombs during the current war between Hezbollah and Israel.",shells,0,0
Blida,19-06-2024,"On 19 June 2024, the Israeli military used machine gunfire towards Blida town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",machine gunfire,0,0
Chebaa,19-06-2024,"On 19 June 2024, Hezbollah fired several missiles targeting the Zebdine Israeli military site in occupied Chebaa farms (Hasbeiya, Al Nabatieh). The group announced it had achieved direct hits. The Israeli military fired artillery shells in the vicinity of the town. There were no casualties.",missiles,0,0
Deir Mimas,19-06-2024,"On 19 June 2024, the Israeli military fired artillery shells towards Deir Mimas town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Hilta,19-06-2024,"On 19 June 2024, the Israeli military fired artillery shells in the vicinity of Hilta town (Hasbeiya, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Houla,19-06-2024,"On 19 June 2024, the Israeli military fired heavy artillery shells targeting Houla town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Kfar Chouba,19-06-2024,"On 19 June 2024, Hezbollah fired several missiles targeting the Al Ramtha and Al Samaka Israeli military sites in Kfar Chouba hills (Hasbeiya, Al Nabatieh). The group announced it had achieved direct hits. The Israeli military fired artillery shells in the vicinity of the town. There were no casualties.",missiles,0,0
Kfar Kila,19-06-2024,"On 19 June 2024, the Israeli military fired artillery shells targeting the Al Houra area between Deir Mimas and Kfar Kila town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Kfar Kila,19-06-2024,"On 19 June 2024, the Israeli military fired artillery and white phosphorus shells and used machine gunfire towards Kfar Kila town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties. International organizations have accused Israel of using white phosphorous bombs during the current war between Hezbollah and Israel.",shells,0,0
Khiyam,19-06-2024,"On 19 June 2024, the Israeli military fired artillery shells in the vicinity of Khiyam town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Marjayoun,19-06-2024,"On 19 June 2024, the Israeli military fired artillery shells targeting the valley of Marjayoun town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Rachaya al Foukhar,19-06-2024,"On 19 June 2024, the Israeli military fired artillery shells in the vicinity of Rachaya al Foukhar town (Hasbeiya, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Aadayseh Marjayoun,19-06-2024,"On 19 June 2024, Israeli warplanes carried out an airstrike targeting a house in Aadayseh Marjayoun town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Aita ech Chaab,19-06-2024,"On 19 June 2024, an Israeli drone fired several missiles targeting Herj Al Raheb in Aita ech Chaab town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. Israeli warplanes also carried out an airstrike in the town. The Israeli military fired artillery shells towards the town. There were no casualties.",drone,0,0
Khiyam,19-06-2024,"On 19 June 2024, Israeli warplanes carried out two airstrikes and the Israeli military fired heavy artillery shells towards Khiyam town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Mays el Jabal,19-06-2024,"On 19 June 2024, an Israeli drone fired several missiles targeting Mays el Jabal town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",drone,0,0
Taybeh,19-06-2024,"On 19 June 2024, Israeli warplanes carried out an airstrike and the Israeli military fired heavy artillery shells targeting Tallet Al Ouaida in the vicinity of Taybeh town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Taybeh,19-06-2024,"On 19 June 2024, Israeli warplanes carried out multiple airstrikes in Taybeh town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Bourghliye,19-06-2024,"On 19 June 2024, Israeli warplanes carried out multiple airstrikes in Bourghliye town (Tyr, South) amid ongoing hostilities with Hezbollah. One of the airstrikes targeted the home of a former minister. There were no casualties.",airstrike,0,0
Bourghliye,19-06-2024,"On 19 June 2024, an Israeli drone fired several missiles in the vicinity of Bourghliye town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",drone,0,0
Bourghliye,18-06-2024,"On 18 June 2024, an Israeli drone struck a car with several missiles along a main road in Bourghliyeh (Tyr, South) amid ongoing hostilities with Hezbollah. The Israeli military also through its drones carried out three other strikes targeting a motorcycle and two cars in the town. Six civilians and two Lebanese Civil Defense members were slightly injured in the drone strikes. In addition, one PIJ member was killed in the attack.",drone,1,0
Chebaa,18-06-2024,"On 18 June 2024, the Israeli military fired heavy artillery shells targeting the valley of Chebaa town (Hasbeiya, Al Nabatieh). In retaliation, Hezbollah fired several missiles targeting the Zebdine Israeli military site in occupied Chebaa farms. There were no casualties.",missiles,0,0
Chebaa,18-06-2024,"On 18 June 2024, the Israeli military fired artillery shells towards Chebaa town (Hasbeiya, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Kfar Chouba,18-06-2024,"On 18 June 2024, Hezbollah fired several missiles targeting the Ramtha Israeli military site in Kfar Chouba hills (Hasbeiya, Al Nabatieh). The group announced it had achieved direct hits. The Israeli military announced it had fired artillery shells in retaliation. There were no casualties.",missiles,0,0
Khiyam,18-06-2024,"On 18 June 2024, the Israeli military fired artillery shells targeting the western vicinity of Khiyam town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Rachaya al Foukhar,18-06-2024,"On 18 June 2024, the Israeli military fired artillery shells in the vicinity of Rachaya al Foukhar town (Hasbeiya, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Aadayseh Marjayoun,18-06-2024,"On 18 June 2024, Israeli warplanes carried out an airstrike and the Israeli military fired artillery shells towards Aadayseh Marjayoun town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Aita ech Chaab,18-06-2024,"On 18 June 2024, Israeli warplanes carried out two airstrikes with two air-to-surface missiles in Aita ech Chaab town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",missiles,0,0
Kfar Kila,18-06-2024,"On 18 June 2024, Israeli warplanes carried out an airstrike in Kfar Kila town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Khiyam,18-06-2024,"On 18 June 2024, Israeli warplanes carried out an airstrike and the Israeli military fired artillery shells towards Khiyam town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Markaba,18-06-2024,"On 18 June 2024, Israeli warplanes carried out an airstrike in the vicinity of Markaba town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Taybeh,18-06-2024,"On 18 June 2024, Israeli warplanes carried out an airstrike with three air-to-surface missiles in Taybeh town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",missiles,0,0
Yaroun,18-06-2024,"On 18 June 2024, Israeli warplanes carried out an airstrike in Yaroun town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Jebbayn,18-06-2024,"On 18 June 2024, Israeli warplanes carried out an airstrike in Jebbayn town (Tyr, South) amid ongoing hostilities with Hezbollah. The Israeli military also fired artillery shells targeting the outskirts of the town. There were no casualties.",airstrike,0,0
Tayr Harfa,18-06-2024,"On 18 June 2024, Israeli warplanes carried out an airstrike between Jebbayn and Tayr Harfa town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Ech Chehabiye,17-06-2024,"On 17 June 2024, an Israeli drone struck a car along the Salaa - Ech Chehabiye main road near Ech Chehabiye town (Tyr, South). The strike led to the death of a Hezbollah member.",drone,0,0
Aadayseh Marjayoun,17-06-2024,"On 17 June 2024, the Israeli military fired artillery shells targeting Aadayseh Marjayoun (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Aita ech Chaab,17-06-2024,"On 17 June 2024, Israeli warplanes carried out an airstrike in Aita ech Chaab town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military announced it had struck military infrastructure for Hezbollah. There were no casualties.",airstrike,0,0
Blida,17-06-2024,"On 17 June 2024, the Israeli military fired artillery shells in the vicinity of Blida town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Aitaroun,17-06-2024,"On 17 June 2024, Israeli warplanes carried out two airstrikes in Aitaroun town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military announced it had struck military infrastructure for Hezbollah. There were no casualties.",airstrike,0,0
Chebaa,17-06-2024,"On 17 June 2024, the Israeli military fired artillery shells in the vicinity of Chebaa town (Hasbeiya, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
El Habbariye,17-06-2024,"On 17 June 2024, the Israeli military fired artillery shells towards El Habbariye town (Hasbeiya, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Chaqra,17-06-2024,"On 17 June 2024, Israeli warplanes carried out an airstrike in the vicinity of Chaqra town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military announced it had struck military infrastructure for Hezbollah. Multiple injuries were reported.",airstrike,0,0
Mays el Jabal,17-06-2024,"On 17 June 2024, Israeli warplanes carried out an airstrike with two missiles targeting a house in Mays el Jabal town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military announced it had struck military infrastructure for Hezbollah. There were no casualties.",missiles,0,0
Kfar Chouba,17-06-2024,"On 17 June 2024, the Israeli military fired artillery shells in the vicinity of Kfar Chouba town (Hasbeiya, Al Nabatieh) amid ongoing hostilities with Hezbollah. Hezbollah responded with artillery shells towards Al Ramtha and Samaka in the hills of Kfar Chouba. There were no casualties.",shells,0,0
Kfar Hamam,17-06-2024,"On 17 June 2024, the Israeli military fired artillery shells in the vicinity of Kfar Hamam town (Hasbeiya, Al Nabatieh) amid ongoing hostilities with Hezbollah. The shelling targeted health workers at Aarqoub health center in the area. There were no casualties.",shells,0,0
Khiyam,17-06-2024,"On 17 June 2024, the Israeli military fired heavy artillery shells targeting Al Shalihat area in Khiyam town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Marjayoun,17-06-2024,"On 17 June 2024, the Israeli military fired artillery shells towards the Marjayoun valley (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Rab el Thalathine,17-06-2024,"On 17 June 2024, the Israeli military fired heavy artillery shells towards Rab el Thalathine town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The shelling led to damages in the electricity network across multiple towns. There were no casualties.",shells,0,0
Rachaya al Foukhar,17-06-2024,"On 17 June 2024, the Israeli military fired artillery shells in the vicinity of Rachaya al Foukhar town (Hasbeiya, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Chihhine,17-06-2024,"On 17 June 2024, the Israeli military fired artillery shells in the vicinity of Chihhine town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Ed Dhayra,17-06-2024,"On 17 June 2024, the Israeli military used machine gunfire targeting civilians visiting Ed Dhayra town (Tyr, South) due to the eid celebrations. There were no casualties.",machine gunfire,0,0
Jebbayn,17-06-2024,"On 17 June 2024, the Israeli military fired artillery shells in the vicinity of Jebbayn town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Jebbayn,17-06-2024,"On 17 June 2024, the Israeli military fired artillery shells towards Jebbayn town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Labbouneh,17-06-2024,"On 17 June 2024, the Israeli military fired artillery shells towards Labbouneh town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Yarine,17-06-2024,"On 17 June 2024, the Israeli military fired artillery shells towards Yarine town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Zebqine,17-06-2024,"On 17 June 2024, the Israeli military fired artillery shells in the vicinity of Zebqine town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Aitaroun,17-06-2024,"On 17 June 2024, an Israeli drone fired missiles targeting the vicinity of Aitaroun town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",drone,0,0
Hanine,17-06-2024,"On 17 June 2024, Israeli warplanes carried out an airstrike in Hanine town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Hanine,17-06-2024,"On 17 June 2024, an Israeli drone fired missiles targeting the vicinity of Hanine town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",drone,0,0
Kfar Kila,17-06-2024,"On 17 June 2024, an Israeli drone struck a house and the Israeli military fired mortar shells towards Kfar Kila town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",drone,0,0
Aadayseh Marjayoun,16-06-2024,"On 16 June 2024, the Israeli military fired artillery shells towards Aadayseh Marjayoun town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Aitaroun,16-06-2024,"On 16 June 2024, the Israeli military fired artillery shells towards Aitaroun town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Hilta,16-06-2024,"On 16 June 2024, the Israeli military fired artillery shells in the vicinity of Hilta town (Hasbeiya, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Houla,16-06-2024,"On 16 June 2024, the Israeli military fired artillery shells targeting Wadi Saluki in the vicinity of Houla town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Kfar Chouba,16-06-2024,"On 16 June 2024, the Israeli military fired artillery shells in the vicinity of Kfar Chouba town (Hasbeiya, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Kfar Chouba,16-06-2024,"On 16 June 2024, the Israeli military fired artillery shells towards Kfar Chouba town (Hasbeiya, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Kfar Hamam,16-06-2024,"On 16 June 2024, the Israeli military fired artillery shells in the vicinity of Kfar Hamam town (Hasbeiya, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Kfar Kila,16-06-2024,"On 16 June 2024, the Israeli military fired artillery shells in the vicinity of Kfar Kila town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Qouzah,16-06-2024,"On 16 June 2024, the Israeli military fired artillery shells in the vicinity of Qouzah town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Rab el Thalathine,16-06-2024,"On 16 June 2024, the Israeli military fired artillery shells in the vicinity of Rab el Thalathine town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Ramieh,16-06-2024,"On 16 June 2024, the Israeli military fired artillery shells in the vicinity of Ramieh town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Chaqra,16-06-2024,"On 16 June 2024, Israeli warplanes carried out an airstrike targeting an unoccupied house in the eastern vicinity of Chaqra town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. One individual and four children were injured in the airstrikes. The Israeli military announced it had struck military infrastructure for Hezbollah in the area.",airstrike,1,0
